secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,am_settlement,contract_size,ss_flag,forward_price,expiry_indicator,root,suffix,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,issuer,div_convention,exercise_style,am_set_flag
108105,2023-02-28,SPX 230317C1000000,1,2023-03-17,2023-02-28,C,1000000,2975.3,2977.9,1,26895,,,,,,144072372,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C1100000,1,2023-03-17,2023-02-28,C,1100000,2875.6,2878,1,55,2.869888,0.992038,9E-6,16.95006,-544.8538,151328946,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C1200000,1,2023-03-17,2022-12-16,C,1200000,2775.8,2778.2,0,252,2.685227,0.991468,0.00001,18.09994,-548.3677,144072373,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C1300000,1,2023-03-17,2022-12-16,C,1300000,2676.1,2678.5,0,251,2.521226,0.990785,0.000011,19.45975,-557.595,144072374,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C1400000,1,2023-03-17,2023-02-27,C,1400000,2576.3,2578.7,0,1485,2.364796,0.990157,0.000013,20.69552,-560.1968,144072375,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C1500000,1,2023-03-17,2023-01-11,C,1500000,2476.6,2478.9,0,603,2.221771,0.989447,0.000014,22.0777,-565.4413,144072376,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C1600000,1,2023-03-17,2023-02-27,C,1600000,2376.8,2379.2,0,3,2.088064,0.988694,0.000016,23.52666,-570.2557,144072377,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C1700000,1,2023-03-17,2022-12-30,C,1700000,2277.1,2279.4,0,431,1.962448,0.987891,0.000018,25.05122,-574.6422,144072378,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C1800000,1,2023-03-17,2023-02-16,C,1800000,2177.1,2179.7,0,1141,1.840144,0.987155,0.000021,26.43413,-572.7021,144072379,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C1900000,1,2023-03-17,2023-01-23,C,1900000,2077.6,2079.9,0,1146,1.73161,0.986114,0.000024,28.36763,-582.1063,144072380,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C200000,1,2023-03-17,2023-02-24,C,200000,3773.2,3775.8,0,167,,,,,,144072381,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C2000000,1,2023-03-17,2023-02-17,C,2000000,1977.8,1980.3,0,21235,1.626486,0.985054,0.000027,30.30765,-588.0228,144072382,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C2100000,1,2023-03-17,2023-02-16,C,2100000,1878.1,1880.3,0,1,1.521412,0.984122,0.00003,31.99212,-584.8905,144072383,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C2200000,1,2023-03-17,,C,2200000,1778.3,1780.6,0,0,1.424037,0.98296,0.000035,34.06659,-586.9839,144072384,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C2300000,1,2023-03-17,,C,2300000,1678.6,1680.8,0,0,1.330595,0.98169,0.000039,36.30254,-588.5291,144072385,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C2400000,1,2023-03-17,2023-02-27,C,2400000,1578.9,1581.1,0,362,1.241971,0.980206,0.000045,38.87568,-592.178,144072386,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C2450000,1,2023-03-17,,C,2450000,1528.8,1531.3,0,0,1.196312,0.979588,0.000048,39.93679,-588.3753,151599744,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C2500000,1,2023-03-17,2023-02-15,C,2500000,1479.1,1481.3,0,3849,1.153944,0.97875,0.000052,41.36248,-589.7776,144072387,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C2550000,1,2023-03-17,2023-02-06,C,2550000,1429.3,1431.5,0,3624,1.113412,0.97777,0.000056,43.01753,-593.5933,150034005,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C2600000,1,2023-03-17,2022-12-22,C,2600000,1379.4,1381.6,0,0,1.071187,0.976931,0.00006,44.42009,-591.9503,144072388,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C2650000,1,2023-03-17,,C,2650000,1329.6,1331.7,0,0,1.030728,0.97594,0.000065,46.06389,-592.6968,149921263,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C2700000,1,2023-03-17,2023-02-15,C,2700000,1279.7,1281.9,0,4,0.990837,0.974888,0.00007,47.79351,-593.1987,144072389,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C2725000,1,2023-03-17,,C,2725000,1252.9,1257.4,0,0,0.955791,0.97594,0.00007,46.06499,-556.4059,150042909,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C2750000,1,2023-03-17,2023-02-14,C,2750000,1229.6,1232,0,77,0.948442,0.974101,0.000075,49.07682,-585.9185,149816702,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C2775000,1,2023-03-17,,C,2775000,1203.1,1207.5,0,0,0.917264,0.97484,0.000076,47.87263,-556.9838,149952067,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C2800000,1,2023-03-17,2023-02-14,C,2800000,1180,1182.1,0,21,0.911659,0.972687,0.000082,51.35934,-590.9338,144072390,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C2825000,1,2023-03-17,,C,2825000,1153.2,1157.6,0,0,0.878209,0.973785,0.000082,49.58979,-554.774,149921264,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C2850000,1,2023-03-17,2023-02-28,C,2850000,1130.1,1132.3,1,20,0.873319,0.971413,0.000088,53.39425,-590.6338,144072391,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C2875000,1,2023-03-17,,C,2875000,1103.4,1107.8,0,0,0.841614,0.972404,0.000089,51.81405,-557.303,149890952,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C2900000,1,2023-03-17,2023-02-28,C,2900000,1080.3,1082.4,1,68,0.835423,0.970046,0.000096,55.55415,-590.0155,144072392,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C2925000,1,2023-03-17,,C,2925000,1053.6,1057.9,0,0,0.804432,0.971049,0.000097,53.97122,-557.0025,149816703,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C2950000,1,2023-03-17,2023-02-21,C,2950000,1030.4,1032.5,0,55,0.797075,0.968702,0.000105,57.65326,-586.6844,144072393,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C2975000,1,2023-03-17,,C,2975000,1003.7,1008,0,0,0.76675,0.969723,0.000106,56.05972,-553.9566,149816704,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C3000000,1,2023-03-17,2023-02-27,C,3000000,980.6,982.7,0,1357,0.760843,0.966985,0.000115,60.30609,-587.7197,144072394,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
108105,2023-02-28,SPX 230317C3025000,1,2023-03-17,2023-01-03,C,3025000,953.9,958.2,0,1,0.731209,0.968007,0.000116,58.73143,-555.3537,149816705,1,1,100,0,,,,,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,
